"filename", "language", "Markdown", "Makefile", "C", "Shell Script", "C++", "CSV", "Python", "comment", "blank", "total"
"d:\CodeBase\satori-os\Makefile", "Makefile", 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
"d:\CodeBase\satori-os\README.md", "Markdown", 23, 0, 0, 0, 0, 0, 0, 0, 2, 25
"d:\CodeBase\satori-os\build.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 2, 3
"d:\CodeBase\satori-os\include\app\vim.h", "C++", 0, 0, 0, 0, 12, 0, 0, 0, 9, 21
"d:\CodeBase\satori-os\include\arch\loongarch.h", "C", 0, 0, 184, 0, 0, 0, 0, 17, 38, 239
"d:\CodeBase\satori-os\include\arch\ls7a.h", "C", 0, 0, 18, 0, 0, 0, 0, 1, 8, 27
"d:\CodeBase\satori-os\include\boot\boot_param.h", "C++", 0, 0, 0, 0, 76, 0, 0, 6, 19, 101
"d:\CodeBase\satori-os\include\config\info.h", "C", 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"d:\CodeBase\satori-os\include\drivers\kbd.h", "C", 0, 0, 22, 0, 0, 0, 0, 0, 8, 30
"d:\CodeBase\satori-os\include\drivers\kbdmap.h", "C", 0, 0, 254, 0, 0, 0, 0, 15, 14, 283
"d:\CodeBase\satori-os\include\fs\fs.h", "C++", 0, 0, 0, 0, 25, 0, 0, 1, 5, 31
"d:\CodeBase\satori-os\include\mm\bitmap.h", "C", 0, 0, 10, 0, 0, 0, 0, 0, 6, 16
"d:\CodeBase\satori-os\include\mm\buddy.h", "C++", 0, 0, 0, 0, 24, 0, 0, 0, 5, 29
"d:\CodeBase\satori-os\include\mm\kmalloc.h", "C++", 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"d:\CodeBase\satori-os\include\mm\malloc.h", "C++", 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"d:\CodeBase\satori-os\include\mm\mem_block.h", "C", 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"d:\CodeBase\satori-os\include\mm\mm.h", "C++", 0, 0, 0, 0, 44, 0, 0, 0, 20, 64
"d:\CodeBase\satori-os\include\mm\mm_types.h", "C++", 0, 0, 0, 0, 11, 0, 0, 0, 5, 16
"d:\CodeBase\satori-os\include\mm\slab.h", "C++", 0, 0, 0, 0, 33, 0, 0, 0, 9, 42
"d:\CodeBase\satori-os\include\mm\sys_heap.h", "C++", 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"d:\CodeBase\satori-os\include\serial\serial.h", "C", 0, 0, 16, 0, 0, 0, 0, 1, 5, 22
"d:\CodeBase\satori-os\include\shell\impl.h", "C++", 0, 0, 0, 0, 7, 0, 0, 0, 2, 9
"d:\CodeBase\satori-os\include\shell\parser.h", "C++", 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"d:\CodeBase\satori-os\include\shell\shell.h", "C", 0, 0, 29, 0, 0, 0, 0, 0, 11, 40
"d:\CodeBase\satori-os\include\sysio\buffer.h", "C++", 0, 0, 0, 0, 23, 0, 0, 0, 4, 27
"d:\CodeBase\satori-os\include\sysio\io.h", "C++", 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"d:\CodeBase\satori-os\include\temp\larchintrin.h", "C", 0, 0, 178, 0, 0, 0, 0, 72, 47, 297
"d:\CodeBase\satori-os\include\types.h", "C", 0, 0, 20, 0, 0, 0, 0, 1, 8, 29
"d:\CodeBase\satori-os\include\utils\mem.h", "C++", 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"d:\CodeBase\satori-os\include\utils\string.h", "C++", 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"d:\CodeBase\satori-os\kernel\Makefile", "Makefile", 0, 31, 0, 0, 0, 0, 0, 0, 10, 41
"d:\CodeBase\satori-os\kernel\app\Makefile", "Makefile", 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\app\tester.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\CodeBase\satori-os\kernel\app\vim.c", "C", 0, 0, 198, 0, 0, 0, 0, 2, 13, 213
"d:\CodeBase\satori-os\kernel\boot\Makefile", "Makefile", 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\boot\boot_param.c", "C", 0, 0, 124, 0, 0, 0, 0, 21, 26, 171
"d:\CodeBase\satori-os\kernel\config\Makefile", "Makefile", 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\config\config.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\CodeBase\satori-os\kernel\config\info.c", "C", 0, 0, 25, 0, 0, 0, 0, 0, 9, 34
"d:\CodeBase\satori-os\kernel\drivers\Makefile", "Makefile", 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\drivers\driver.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\CodeBase\satori-os\kernel\drivers\kbd.c", "C", 0, 0, 120, 0, 0, 0, 0, 12, 16, 148
"d:\CodeBase\satori-os\kernel\drivers\kbdmap.c", "C", 0, 0, 146, 0, 0, 0, 0, 6, 7, 159
"d:\CodeBase\satori-os\kernel\entry.c", "C", 0, 0, 25, 0, 0, 0, 0, 3, 8, 36
"d:\CodeBase\satori-os\kernel\fs\Makefile", "Makefile", 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\fs\fs.c", "C", 0, 0, 253, 0, 0, 0, 0, 3, 16, 272
"d:\CodeBase\satori-os\kernel\kernel.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\CodeBase\satori-os\kernel\mm\Makefile", "Makefile", 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\mm\bitmap.c", "C", 0, 0, 76, 0, 0, 0, 0, 2, 6, 84
"d:\CodeBase\satori-os\kernel\mm\buddy.c", "C", 0, 0, 122, 0, 0, 0, 0, 2, 10, 134
"d:\CodeBase\satori-os\kernel\mm\cache.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\CodeBase\satori-os\kernel\mm\kmalloc.c", "C", 0, 0, 31, 0, 0, 0, 0, 0, 5, 36
"d:\CodeBase\satori-os\kernel\mm\malloc.c", "C", 0, 0, 37, 0, 0, 0, 0, 0, 4, 41
"d:\CodeBase\satori-os\kernel\mm\mem_block.c", "C", 0, 0, 1, 0, 0, 0, 0, 7, 4, 12
"d:\CodeBase\satori-os\kernel\mm\memory.md", "Markdown", 68, 0, 0, 0, 0, 0, 0, 0, 56, 124
"d:\CodeBase\satori-os\kernel\mm\mm.c", "C", 0, 0, 37, 0, 0, 0, 0, 29, 8, 74
"d:\CodeBase\satori-os\kernel\mm\page.c", "C", 0, 0, 0, 0, 0, 0, 0, 24, 1, 25
"d:\CodeBase\satori-os\kernel\mm\slab.c", "C", 0, 0, 15, 0, 0, 0, 0, 6, 3, 24
"d:\CodeBase\satori-os\kernel\mm\sys_heap.c", "C", 0, 0, 58, 0, 0, 0, 0, 0, 8, 66
"d:\CodeBase\satori-os\kernel\mm\tlb.c", "C", 0, 0, 0, 0, 0, 0, 0, 57, 9, 66
"d:\CodeBase\satori-os\kernel\sched\Makefile", "Makefile", 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\sched\sched.c", "C", 0, 0, 2, 0, 0, 0, 0, 4, 2, 8
"d:\CodeBase\satori-os\kernel\sched\sched.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\CodeBase\satori-os\kernel\shell\Makefile", "Makefile", 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\shell\cmd.c", "C", 0, 0, 254, 0, 0, 0, 0, 0, 1, 255
"d:\CodeBase\satori-os\kernel\shell\impl.c", "C", 0, 0, 61, 0, 0, 0, 0, 0, 5, 66
"d:\CodeBase\satori-os\kernel\shell\parser.c", "C", 0, 0, 101, 0, 0, 0, 0, 7, 9, 117
"d:\CodeBase\satori-os\kernel\shell\shell.c", "C", 0, 0, 57, 0, 0, 0, 0, 2, 6, 65
"d:\CodeBase\satori-os\kernel\shell\shell.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\CodeBase\satori-os\kernel\sys\Makefile", "Makefile", 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\sys\sys.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\CodeBase\satori-os\kernel\sys\syscall.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\CodeBase\satori-os\kernel\sysio\Makefile", "Makefile", 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\sysio\buffer.c", "C", 0, 0, 74, 0, 0, 0, 0, 1, 12, 87
"d:\CodeBase\satori-os\kernel\sysio\io.c", "C", 0, 0, 118, 0, 0, 0, 0, 10, 15, 143
"d:\CodeBase\satori-os\kernel\trap\Makefile", "Makefile", 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\trap\extioi.c", "C", 0, 0, 19, 0, 0, 0, 0, 6, 7, 32
"d:\CodeBase\satori-os\kernel\trap\ls7a_intc.c", "C", 0, 0, 18, 0, 0, 0, 0, 6, 8, 32
"d:\CodeBase\satori-os\kernel\trap\pckbd.c", "C", 0, 0, 31, 0, 0, 0, 0, 10, 10, 51
"d:\CodeBase\satori-os\kernel\trap\trap.c", "C", 0, 0, 162, 0, 0, 0, 0, 18, 23, 203
"d:\CodeBase\satori-os\kernel\trap\trap.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\CodeBase\satori-os\kernel\utils\Makefile", "Makefile", 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"d:\CodeBase\satori-os\kernel\utils\mem.c", "C", 0, 0, 34, 0, 0, 0, 0, 0, 3, 37
"d:\CodeBase\satori-os\kernel\utils\string.c", "C", 0, 0, 85, 0, 0, 0, 0, 10, 6, 101
"d:\CodeBase\satori-os\notes.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"d:\CodeBase\satori-os\run_loongarch.sh", "Shell Script", 0, 0, 0, 61, 0, 0, 0, 13, 6, 80
"d:\CodeBase\satori-os\start.sh", "Shell Script", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\CodeBase\satori-os\tools\mmp.csv", "CSV", 0, 0, 0, 0, 0, 16, 0, 0, 1, 17
"d:\CodeBase\satori-os\tools\vis_mmap.py", "Python", 0, 0, 0, 0, 0, 0, 112, 0, 16, 128
"Total", "-", 100, 258, 3033, 65, 315, 16, 112, 375, 689, 4963
