"filename", "language", "C", "C++", "Markdown", "comment", "blank", "total"
"d:\CodeBase\satori-os\include\config\kbdmap.h", "C", 5, 0, 0, 1, 2, 8
"d:\CodeBase\satori-os\include\drivers\ansi.h", "C", 10, 0, 0, 0, 3, 13
"d:\CodeBase\satori-os\include\drivers\driver.md", "Markdown", 0, 0, 4, 0, 5, 9
"d:\CodeBase\satori-os\include\drivers\kbd.h", "C", 9, 0, 0, 0, 2, 11
"d:\CodeBase\satori-os\include\drivers\rtx.h", "C++", 0, 77, 0, 3, 23, 103
"d:\CodeBase\satori-os\include\drivers\vgd.h", "C++", 0, -3, 0, 0, -2, -5
"d:\CodeBase\satori-os\include\io\kbdin.h", "C++", 0, 12, 0, 0, 5, 17
"d:\CodeBase\satori-os\include\io\kinfo.h", "C", 41, 0, 0, 0, 6, 47
"d:\CodeBase\satori-os\include\io\stdin.h", "C", 0, 0, 0, 0, 1, 1
"d:\CodeBase\satori-os\include\lib\buffer.h", "C", 1, 0, 0, 0, 1, 2
"d:\CodeBase\satori-os\include\lib\text.h", "C", 5, 0, 0, 0, 1, 6
"d:\CodeBase\satori-os\include\mm\mm.h", "C++", 0, -12, 0, 0, -1, -13
"d:\CodeBase\satori-os\include\mm\sys_heap.h", "C++", 0, 1, 0, 0, 1, 2
"d:\CodeBase\satori-os\include\shell\impl.h", "C", 1, 0, 0, 0, 0, 1
"d:\CodeBase\satori-os\include\types.h", "C", 7, 0, 0, -1, 0, 6
"d:\CodeBase\satori-os\kernel\app\vim.c", "C", 55, 0, 0, 20, 2, 77
"d:\CodeBase\satori-os\kernel\drivers\ansi.c", "C", 33, 0, 0, 0, 7, 40
"d:\CodeBase\satori-os\kernel\drivers\rtx.c", "C", 40, 0, 0, 2, 5, 47
"d:\CodeBase\satori-os\kernel\io\kbdin.c", "C", 48, 0, 0, 0, 6, 54
"d:\CodeBase\satori-os\kernel\io\stdin.c", "C", -3, 0, 0, 0, 0, -3
"d:\CodeBase\satori-os\kernel\io\stdout.c", "C", 12, 0, 0, 0, 1, 13
"d:\CodeBase\satori-os\kernel\lib\buffer.c", "C", 6, 0, 0, 0, 1, 7
"d:\CodeBase\satori-os\kernel\lib\text.c", "C", 47, 0, 0, 6, 7, 60
"d:\CodeBase\satori-os\kernel\mm\bitmap.c", "C", 17, 0, 0, 0, 0, 17
"d:\CodeBase\satori-os\kernel\mm\sys_heap.c", "C", 19, 0, 0, 0, 1, 20
"d:\CodeBase\satori-os\kernel\shell\cmd.c", "C", -11, 0, 0, 0, 0, -11
"d:\CodeBase\satori-os\kernel\shell\impl.c", "C", 6, 0, 0, 3, 1, 10
"Total", "-", 348, 75, 4, 34, 78, 539
