"filename", "language", "C", "C++", "Markdown", "Makefile", "comment", "blank", "total"
"d:\CodeBase\satori-os\include\drivers\ansi.h", "C", 7, 0, 0, 0, 1, 1, 9
"d:\CodeBase\satori-os\include\drivers\rtx.h", "C++", 0, 2, 0, 0, 0, 2, 4
"d:\CodeBase\satori-os\include\drivers\serial.h", "C", -1, 0, 0, 0, 0, 1, 0
"d:\CodeBase\satori-os\include\gcc.h", "C++", 0, 24, 0, 0, 0, 10, 34
"d:\CodeBase\satori-os\include\io\stdout.h", "C", 11, 0, 0, 0, 0, 2, 13
"d:\CodeBase\satori-os\include\isp\asm.h", "C++", 0, 3, 0, 0, 0, 3, 6
"d:\CodeBase\satori-os\include\isp\isp.h", "C++", 0, 20, 0, 0, 0, 6, 26
"d:\CodeBase\satori-os\include\isp\prep.h", "C++", 0, 3, 0, 0, 0, 3, 6
"d:\CodeBase\satori-os\include\lib\map.h", "C++", 0, 11, 0, 0, 0, 5, 16
"d:\CodeBase\satori-os\include\lib\text.h", "C", 1, 0, 0, 0, 0, 1, 2
"d:\CodeBase\satori-os\include\sched\pcb.h", "C++", 0, 16, 0, 0, 0, 3, 19
"d:\CodeBase\satori-os\include\sched\sched.h", "C++", 0, 3, 0, 0, 0, 3, 6
"d:\CodeBase\satori-os\include\shell\csp.h", "C++", 0, -3, 0, 0, 0, -3, -6
"d:\CodeBase\satori-os\include\types.h", "C", -1, 0, 0, 0, 0, -1, -2
"d:\CodeBase\satori-os\include\vpu\exec.h", "C++", 0, 22, 0, 0, 0, 7, 29
"d:\CodeBase\satori-os\include\vpu\instr.h", "C++", 0, 38, 0, 0, 8, 2, 48
"d:\CodeBase\satori-os\include\vpu\vdt.h", "C++", 0, 52, 0, 0, 0, 9, 61
"d:\CodeBase\satori-os\include\vpu\vmmu.h", "C++", 0, 3, 0, 0, 0, 3, 6
"d:\CodeBase\satori-os\include\vpu\vpu.h", "C++", 0, 27, 0, 0, 0, 5, 32
"d:\CodeBase\satori-os\include\vpu\vpu.md", "Markdown", 0, 0, 15, 0, 0, 13, 28
"d:\CodeBase\satori-os\kernel\app\vim.c", "C", 26, 0, 0, 0, -1, 1, 26
"d:\CodeBase\satori-os\kernel\drivers\rtx.c", "C", 30, 0, 0, 0, 1, 4, 35
"d:\CodeBase\satori-os\kernel\io\kbdin.c", "C", 1, 0, 0, 0, 0, 0, 1
"d:\CodeBase\satori-os\kernel\isp\Makefile", "Makefile", 0, 0, 0, 18, 0, 6, 24
"d:\CodeBase\satori-os\kernel\isp\asm.c", "C", 0, 0, 0, 0, 0, 1, 1
"d:\CodeBase\satori-os\kernel\isp\exec.c", "C", 0, 0, 0, 0, 0, 1, 1
"d:\CodeBase\satori-os\kernel\isp\prep.c", "C", 1, 0, 0, 0, 0, 0, 1
"d:\CodeBase\satori-os\kernel\lib\buffer.c", "C", -1, 0, 0, 0, 0, 0, -1
"d:\CodeBase\satori-os\kernel\lib\text.c", "C", 18, 0, 0, 0, 1, 1, 20
"d:\CodeBase\satori-os\kernel\shell\csp.c", "C", -1, 0, 0, 0, 0, 0, -1
"d:\CodeBase\satori-os\kernel\vpu\Makefile", "Makefile", 0, 0, 0, 18, 0, 6, 24
"d:\CodeBase\satori-os\kernel\vpu\vpu.c", "C", 0, 0, 0, 0, 0, 1, 1
"Total", "-", 91, 221, 15, 36, 10, 96, 469
