"filename", "language", "C", "Markdown", "C++", "comment", "blank", "total"
"d:\CodeBase\satori-os\include\config\config.h", "C++", 0, 0, 1, 0, 0, 1
"d:\CodeBase\satori-os\include\drivers\vdsk.h", "C++", 0, 0, 3, 1, 3, 7
"d:\CodeBase\satori-os\include\gcc.h", "C++", 0, 0, 5, 0, 0, 5
"d:\CodeBase\satori-os\include\io\kinfo.h", "C", 9, 0, 0, 0, 4, 13
"d:\CodeBase\satori-os\include\mm\buddy.h", "C++", 0, 0, 0, 0, 1, 1
"d:\CodeBase\satori-os\include\sys\syscall.h", "C++", 0, 0, 36, 0, 13, 49
"d:\CodeBase\satori-os\include\types.h", "C", 1, 0, 0, 0, 1, 2
"d:\CodeBase\satori-os\include\vpu\addr.h", "C++", 0, 0, 14, 0, 5, 19
"d:\CodeBase\satori-os\include\vpu\gate.h", "C++", 0, 0, 14, 0, 3, 17
"d:\CodeBase\satori-os\include\vpu\instr.h", "C++", 0, 0, 53, 0, 34, 87
"d:\CodeBase\satori-os\include\vpu\page.h", "C++", 0, 0, 24, 0, 5, 29
"d:\CodeBase\satori-os\include\vpu\vdt.h", "C++", 0, 0, -2, 0, 0, -2
"d:\CodeBase\satori-os\include\vpu\vmmu.h", "C++", 0, 0, 7, 0, 2, 9
"d:\CodeBase\satori-os\include\vpu\vpu.h", "C++", 0, 0, 49, 1, 15, 65
"d:\CodeBase\satori-os\include\vpu\vpu.md", "Markdown", 0, 8, 0, 0, 8, 16
"d:\CodeBase\satori-os\include\vpu\vtlb.h", "C++", 0, 0, 18, 0, 5, 23
"d:\CodeBase\satori-os\kernel\entry.c", "C", 15, 0, 0, 0, 0, 15
"d:\CodeBase\satori-os\kernel\mm\memory.md", "Markdown", 0, 4, 0, 0, 4, 8
"d:\CodeBase\satori-os\kernel\mm\slab.c", "C", 1, 0, 0, 0, 0, 1
"d:\CodeBase\satori-os\kernel\sys\sys.c", "C", 0, 0, 0, 0, -1, -1
"d:\CodeBase\satori-os\kernel\sys\syscall.c", "C", 33, 0, 0, 0, 3, 36
"d:\CodeBase\satori-os\kernel\vpu\instr.c", "C", 264, 0, 0, 0, 34, 298
"d:\CodeBase\satori-os\kernel\vpu\vmmu.c", "C", 33, 0, 0, 0, 2, 35
"d:\CodeBase\satori-os\kernel\vpu\vpu.c", "C", 86, 0, 0, 0, 7, 93
"d:\CodeBase\satori-os\kernel\vpu\vtlb.c", "C", 37, 0, 0, 0, 6, 43
"Total", "-", 479, 12, 222, 2, 154, 869
